log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,2.0,8,10,8,7.471177339553833,
02.txt,2.0,16,17,16,8.732958555221558,
03.txt,2.0,11,12,11,7.3037121295928955,
04.txt,2.0,10,11,10,6.361697435379028,
05.txt,4.0,11,14,11,19.473435878753662,
06.txt,1.0,10,10,10,4.02320671081543,
07.txt,4.0,13,17,13,20.628872871398926,
08.txt,1.0,12,12,12,3.04884672164917,
09.txt,4.0,13,17,13,18.338961601257324,
10.txt,2.0,9,9,9,6.8172385692596436,
11.txt,2.0,12,15,12,8.151520729064941,
12.txt,1.0,10,10,10,3.1952168941497803,
13.txt,7.0,9,12,9,27.440963745117188,
14.txt,8.0,10,16,10,35.1959125995636,
15.txt,4.0,10,12,10,15.165202856063843,
16.txt,11.0,24,23,18,87.07134437561035,
17.txt,6.0,25,54,24,47.28768706321716,
18.txt,7.0,26,27,25,46.5906720161438,
19.txt,1.0,8,8,8,3.0739941596984863,
20.txt,6.0,13,19,13,33.5511531829834,
