Model,up_to_12,Higher
ground truth,0.9839518506153845,0.9847273345714286
o1-preview,0.9345985870769231,0.8879797004285714
claude-3-5-sonnet-20240620,0.9330270304615385,0.9282306295714287
o1-mini,0.9329645428461538,0.8637590495714286
gemini-1.5-pro-002-IT1,0.8859795095384617,0.8525029359999999
gemini-1.5-pro-002-IT2,0.8825833911538461,0.8865200748571429
Llama-3.1-405B-Instruct,0.8713483135384615,0.830137401
Llama-3.1-Nemotron-70B-Instruct,0.8646119123076924,0.7758445120000002
gemini-1.5-pro-002-IT3,0.8590630633076923,0.8769699341428571
gemini-1.5-pro-002-IT4,0.8555935055384617,0.8726550932857143
mistral-large-2407,0.8439978641538463,0.6491659665714286
Qwen2.5-72B-Instruct,0.8203179668461539,0.7697823007142857
Llama-3.2-90B-Vision-Instruct,0.8159213060769231,0.7813643607142857
open-mixtral-8x22b,0.8078711364615386,0.5575243785714286
codestral-2405,0.7792117226153845,0.6440622831428572
gpt-4o,0.7769931304615384,0.714368642
gpt-4,0.7708983141538462,0.7274238334285715
WizardLM-2-8x22B,0.7456045167692308,0.7092378418571429
gemini-1.5-flash-002,0.7336434703846153,0.7141349827142857
gpt-4o-mini,0.7205971953076923,0.7656692544285714
