gemini-1.5-pro-002,0.79621171,0.253045466,0.765822066,0.465239539,0.833314594,0.914479255,0.919668858,0.85668277,0.955520063,0.684968375,0.745300904,0.58213375,0.833014903,0.859706362,0.836707152,0.942712301,0.913575639,0.660954431,0.99220156,0.992823272,0.790204148,,,,
gemini-1.5-pro-002-IT1,0.978723404,0.974915254,0.942307692,0.907846523,0.85209713,0.959132611,0.929036467,0.978723404,0.799860286,0.909132239,0.856180403,0.864212719,0.777476903,0.652348357,0.839552239,0.954297354,0.735645013,0.659869089,1,0.913897089,0.874262709,0.874262709,,claude-3-5-sonnet-20240620,0.93
gemini-1.5-pro-002-IT2,0.876526459,0.974915254,0.942307692,0.842561648,0.767889272,0.959132611,0.934701817,0.836140888,0.973168103,0.902258954,0.863701248,0.823433605,0.965357968,0.834680061,0.859593679,0.955783959,0.896285795,0.517986215,1,0.952799381,0.88396123,0.88396123,,o1-preview,0.92
gemini-1.5-pro-002-IT3,0.838812785,0.860771531,0.942307692,0.847298272,0.84345201,0.897116612,0.90939545,0.836140888,0.862706335,0.94643239,0.856180403,0.845823984,0.532189371,0.832393644,0.949671772,0.809192282,0.84758954,0.885502555,1,0.963631846,0.865330468,0.865330468,,o1-mini,0.91
gemini-1.5-pro-002-IT4,0.872062663,0.974915254,0.942307692,0.93619094,0.84345201,0.959132611,0.90939545,0.836140888,0.784453171,0.574426879,0.888219724,0.864212719,0.777476903,0.652348357,0.976744186,0.85054592,0.813361388,0.807288889,1,0.968625581,0.861565061,0.861565061,,gemini-1.5-pro-002-IT2,0.88
gemini-1.5-pro-002,0.765280643,0.758809001,0.772916765,0.852302379,0.926433581,0.959132611,0.878657278,0.978723404,0.958175564,0.908241559,0.587587263,0.891478298,1,0.450184502,0.923076923,0.837881204,0.947567339,0.33949734,0.870262683,0.794569937,,,,,
gemini-1.5-pro-002,0.838812785,0.878525608,0.842315008,0.829520717,0.820861678,0.959132611,0.934701817,0.836140888,0.952442794,0.88362941,0.76959931,0.925274926,0.828818615,0.691358025,0.976744186,0.93124854,0.904270546,0.843908048,0.93058297,0.660131323,,,,,
gemini-1.5-pro-002,nan,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-002,0.802005013,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-002,0.802005013,,,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-flash-002,0.789594491,,,,,,,,,,,,,,,,,,,,,,,,
