log_name,visible_transitions_ground_truth_log,visible_transitions_ground_truth_model,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
01.txt,8,8,8,100.0,1.0,1.0
02.txt,16,16,16,100.0,1.0,0.9333333333333333
03.txt,11,11,11,100.0,1.0,0.967741935483871
04.txt,10,10,10,100.0,1.0,1.0
05.txt,11,11,11,100.0,1.0,0.9278846153846154
06.txt,10,10,10,100.0,1.0,0.96
07.txt,13,13,13,100.0,1.0,0.9347826086956522
08.txt,12,12,12,100.0,1.0,1.0
09.txt,13,13,13,100.0,1.0,0.9664804469273743
10.txt,9,9,9,100.0,1.0,0.9905660377358491
11.txt,12,12,12,100.0,1.0,0.9146413752222881
12.txt,10,10,10,100.0,1.0,0.8816901408450705
13.txt,9,9,9,100.0,1.0,1.0
14.txt,10,10,10,100.0,1.0,0.9565217391304348
15.txt,10,10,10,100.0,1.0,1.0
16.txt,24,24,24,100.0,1.0,0.9858934169278997
17.txt,25,25,25,100.0,1.0,1.0
18.txt,26,26,26,100.0,1.0,0.9712800568415542
hotel.txt,13,13,13,100.0,1.0,1.0
order.txt,8,8,8,100.0,1.0,1.0
