Model,up_to_9,Higher
ground truth,0.9850869182727272,0.9831676998888889
o1-mini,0.9383132640909092,0.8726007221111111
o1-preview,0.9321247701818184,0.901363007
claude-3-5-sonnet-20240620,0.9288003583636363,0.9344624290000001
gemini-1.5-pro-002-IT2,0.8885219953636363,0.8783869622222222
gemini-1.5-pro-002-IT1,0.8802572560909091,0.8669360398888889
Llama-3.1-405B-Instruct,0.8636527531818181,0.8487010664444444
gemini-1.5-pro-002-IT3,0.8614089574545454,0.8701234255555554
Llama-3.1-Nemotron-70B-Instruct,0.8582501640000001,0.8033460711111112
gemini-1.5-pro-002-IT4,0.8543959054545454,0.8703273627777778
Llama-3.2-90B-Vision-Instruct,0.8372547555454545,0.7629694658888889
mistral-large-2407,0.8366168134545456,0.701483228
Qwen2.5-72B-Instruct,0.8145570740909089,0.788053539888889
open-mixtral-8x22b,0.8138681998181817,0.6058272473333334
gpt-4,0.8009109802727271,0.7004026816666666
gpt-4o,0.7885452232727274,0.7141659704444445
codestral-2405,0.7800420495454545,0.6730806478888889
gemini-1.5-flash-002,0.7390686737272727,0.7118393981111111
WizardLM-2-8x22B,0.7234071098181818,0.7444494892222223
gpt-4o-mini,0.7127249152727273,0.7652749168888888
