ground truth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gemini-1.5-pro-002,0.958333333,0.951058201,0.890909091,0.858058608,1,0.921474359,0.939139038,0.958333333,0.908730159,0.914480519,0.863126742,0.843239433,0.807043651,0.875066962,0.786713287,0.946265727,0.800008644,0.71708204,1,0.959354326
gemini-1.5-pro-002,0.85,0.951058201,0.890909091,0.800824176,0.861996337,0.921474359,0.877408627,0.807692308,0.978655462,0.88902972,0.895440937,0.785125589,0.933035714,0.91875,0.832167832,0.958942416,0.902375811,0.857475323,1,0.91552895
gemini-1.5-pro-002,0.773148148,0.86443106,0.890909091,0.809425693,0.940277778,0.826354895,0.833845274,0.807692308,0.875798319,0.898311966,0.863126742,0.810760007,0.831597222,0.867521368,0.904166667,0.866445921,0.946737532,0.908504757,1,0.936749984
gemini-1.5-pro-002,0.773148148,0.951058201,0.890909091,0.88003663,0.940277778,0.921474359,0.833845274,0.807692308,0.710888901,0.801304529,0.930928072,0.843239433,0.807043651,0.875066962,0.954545455,0.885575869,0.793869046,0.901707706,1,0.939159982
claude-3-5-sonnet-20240620,0.85,0.951058201,0.813131313,0.925431711,0.924305556,0.964285714,0.842879257,0.954545455,0.935178571,0.907397186,0.879351759,0.860941043,1,0.916666667,0.954545455,0.944581934,0.943851679,0.981608152,0.933571429,0.969128788
o1-preview,0.938552189,0.951058201,0.976068376,0.903486395,0.939005439,0.961309524,0.842879257,0.954545455,0.981462276,0.837613775,0.942821082,0.931341639,1,0.861111111,0.916083916,0.882219977,0.985601722,0.872581207,1,0.853125902
gpt-4o-mini,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
gpt-4o-mini,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
gpt-4o-mini,0.7731481481481483,0.8603213507625261,0.7000000000000001,0.784340659340659,0.8407321844821843,0.8630681818181817,0.7674947119003155,0.7132867132867133,0.7905249340031953,0.82994338994339,0.6430016451024823,0.8096205265322913,0.5416666666666667,0.7961038961038962,0.8650793650793651,0.49258049887059874,0.731673731020132,0.7121470741657578,0.7785916860916859,0.9066701680672309
o1-mini,0.8722222222222222,0.9510582010582018,0.8131313131313131,0.880036630036629,0.9480158730158731,0.9214743589743589,0.8175876625954009,0.9545454545454546,0.9786554621848739,0.8956043956043958,0.7301648005255978,0.9084415584415582,1.0,0.905982905982906,0.9545454545454545,0.9324884900298194,0.9456636976866035,0.8613626913169099,0.8966161616161618,0.9288608511586589
Llama-3.2-90B-Vision-Instruct,0.763095238095238,0.8214233841684822,0.8909090909090907,0.7897340754483605,0.861628016591252,0.6709155427905428,0.6449952459820902,0.8076923076923076,0.8025839054157141,0.8126098901098902,0.833446588998884,0.8324684574684575,0.9330357142857143,0.8675213675213675,0.9545454545454545,0.8496125074878677,0.6712705490612609,0.7561565899132037,0.8444444444444447,0.8982389982689544
