,gemini-1.5-flash-002,,,,,,,,,,,,,,,,,,,,
,old,,new,,,,,,,scores,,,,,,num_it,,,,,
log_name,old_num_it,old_score,new_num_it,new_score,,,,,log_name,IT1,IT2,IT3,IT4,IT5,,IT1,IT2,IT3,IT4,IT5,
01.txt,3,0.744244155,2,0.69419944,FALSE,0.838812785,,,01.txt,0.978723404,0.876526459,0.838812785,0.872062663,0.765280643,0.838812785,1,1,1,2,2,1
02.txt,6,0.921972887,3,0.822748402,FALSE,0.878525608,,,02.txt,0.974915254,0.974915254,0.860771531,0.974915254,0.758809001,0.878525608,2,1,4,1,1,1
03.txt,3,0.4802618,6,0.540275049,TRUE,0.842315008,,,03.txt,0.942307692,0.942307692,0.942307692,0.942307692,0.772916765,0.842315008,1,1,1,1,2,1
04.txt,2,0.842561648,12,0.861024417,TRUE,0.829520717,,,04.txt,0.907846523,0.842561648,0.847298272,0.93619094,0.852302379,0.829520717,2,3,2,1,2,1
05.txt,5,0.600285971,2,0.755578089,TRUE,0.820861678,,,05.txt,0.85209713,0.767889272,0.84345201,0.84345201,0.926433581,0.820861678,1,1,1,2,1,1
06.txt,3,0.832179226,1,0.914417969,TRUE,0.959132611,,,06.txt,0.959132611,0.959132611,0.897116612,0.959132611,0.959132611,0.959132611,2,1,2,1,1,3
07.txt,4,0.695431001,4,0.802215003,TRUE,0.934701817,,,07.txt,0.929036467,0.934701817,0.90939545,0.90939545,0.878657278,0.934701817,1,1,1,1,1,1
08.txt,1,0.768637532,11,0.689655172,FALSE,0.836140888,,,08.txt,0.978723404,0.836140888,0.836140888,0.836140888,0.978723404,0.836140888,1,1,1,1,1,1
09.txt,4,0.757854218,2,0.714876338,FALSE,0.952442794,,,09.txt,0.799860286,0.973168103,0.862706335,0.784453171,0.958175564,0.952442794,1,1,2,2,2,1
10.txt,1,0.968502487,5,0.671286489,FALSE,0.88362941,,,10.txt,0.909132239,0.902258954,0.94643239,0.574426879,0.908241559,0.88362941,1,1,1,3,1,3
11.txt,3,0.638972172,3,0.510664517,FALSE,0.76959931,,,11.txt,0.856180403,0.863701248,0.856180403,0.888219724,0.587587263,0.76959931,2,1,2,3,2,1
12.txt,3,0.579113212,3,0.874551557,TRUE,0.925274926,,,12.txt,0.864212719,0.823433605,0.845823984,0.864212719,0.891478298,0.925274926,2,2,3,1,1,1
13.txt,4,0.713864818,4,0.710270211,FALSE,0.828818615,,,13.txt,0.777476903,0.965357968,0.532189371,0.777476903,1,0.828818615,3,5,2,2,2,2
14.txt,3,0.6,3,0.732177264,TRUE,0.691358025,,,14.txt,0.652348357,0.834680061,0.832393644,0.652348357,0.450184502,0.802005013,4,1,1,1,5,1
15.txt,1,0.915068493,5,0.82874443,FALSE,0.976744186,,,15.txt,0.839552239,0.859593679,0.949671772,0.976744186,0.923076923,0.976744186,3,3,5,1,1,1
16.txt,3,0.834478172,4,0.927927295,TRUE,0.93124854,,,16.txt,0.954297354,0.955783959,0.809192282,0.85054592,0.837881204,0.93124854,1,1,4,3,1,1
