process_id,fitness_percFitTraces,averageFitness,precision,f_measure
01,16.666666666666668,0.7731481481481483,1.0,0.8720626631853786
02,3.7037037037037037,0.8837145969498897,1.0,0.9382680352754076
03,16.666666666666668,0.8909090909090907,1.0,0.9423076923076922
04,21.428571428571427,0.9119047619047616,0.9556650246305418,0.9332722054399636
05,0.0,0.8127289377289378,0.9426229508196722,0.8728699407752668
06,25.0,0.9214743589743589,1.0,0.9591326105087572
07,0.0,0.7460683956136753,0.9746514575411914,0.8451772644769293
08,50.0,0.9545454545454546,1.0,0.9767441860465117
09,0.0,0.9351785714285705,0.8953488372093024,0.914830384467922
10,0.0,0.755290404040404,0.7352941176470589,0.7451581351152985
11,1.5873015873015872,0.7400437389407944,1.0,0.850603605391295
12,2.380952380952381,0.7995648531362818,1.0,0.8886202147622522
13,0.0,0.8070436507936508,0.75,0.7774769034724436
14,0.0,0.8675213675213675,0.6666666666666667,0.753946146703807
15,0.0,0.8706293706293707,0.9,0.8850710900473934
16,0.0,0.7202183882095406,0.935064935064935,0.813698719650613
17,0.0,0.840096464313321,0.6874435411020776,0.7561424070695082
18,0.0,0.797907725917138,0.4491379858769642,0.5747514554514777
19,0.0,0.9226190476190474,0.8235294117647058,0.8702626829757368
20,32.72727272727273,0.9381601731601751,1.0,0.9680935416503813
process_id,fitness_percFitTraces,averageFitness,precision,f_measure
01,16.666666666666668,0.7731481481481483,1.0,0.8720626631853786
02,3.7037037037037037,0.8837145969498897,1.0,0.9382680352754076
03,16.666666666666668,0.8909090909090907,1.0,0.9423076923076922
04,21.428571428571427,0.9119047619047616,0.9556650246305418,0.9332722054399636
05,0.0,0.8127289377289378,0.9426229508196722,0.8728699407752668
06,25.0,0.9214743589743589,1.0,0.9591326105087572
07,0.0,0.7460683956136753,0.9746514575411914,0.8451772644769293
08,50.0,0.9545454545454546,1.0,0.9767441860465117
09,0.0,0.9351785714285705,0.8953488372093024,0.914830384467922
10,0.0,0.755290404040404,0.7352941176470589,0.7451581351152985
11,1.5873015873015872,0.7400437389407944,1.0,0.850603605391295
12,2.380952380952381,0.7995648531362818,1.0,0.8886202147622522
13,0.0,0.8070436507936508,0.75,0.7774769034724436
14,0.0,0.8675213675213675,0.6666666666666667,0.753946146703807
15,0.0,0.8706293706293707,0.9,0.8850710900473934
16,0.0,0.7202183882095406,0.935064935064935,0.813698719650613
17,0.0,0.840096464313321,0.6874435411020776,0.7561424070695082
18,0.0,0.797907725917138,0.4491379858769642,0.5747514554514777
19,0.0,0.9226190476190474,0.8235294117647058,0.8702626829757368
20,32.72727272727273,0.9381601731601751,1.0,0.9680935416503813
