process_id,fitness_percFitTraces,averageFitness,precision,f_measure
01,0.0,0.6435185185185186,0.8823529411764706,0.7442441549170088
02,11.11111111111111,0.9326046597976421,1.0,0.96512719771181
03,0.0,0.8012820512820512,0.8292682926829268,0.8150349985617029
04,0.0,0.6184752747252746,0.19999999999999996,0.3022572795166568
05,16.666666666666668,0.9230963480963482,1.0,0.9600105049443945
06,12.5,0.8872481684981687,0.8666666666666667,0.8768366596615804
07,0.0,0.773190328763083,0.9655172413793104,0.858716676809955
08,0.0,0.8076923076923076,0.8666666666666667,0.8361408882082696
09,0.0,0.7093750000000003,0.8571428571428572,0.7762895411798235
10,30.0,0.9031206293706294,1.0,0.949094466670035
11,0.0,0.6913839658670491,0.33333333333333337,0.44980468688392183
12,0.0,0.7520825735111449,0.9881656804733728,0.8541105400613925
13,0.0,0.748015873015873,0.75,0.7490066225165563
14,0.0,0.7404401154401155,0.2666666666666667,0.3921147210182565
15,0.0,0.891826923076923,0.6,0.7173702868192072
16,0.0,0.7850717687079125,0.8181818181818181,0.8012849026220008
17,0.0,0.7808967825941835,0.25,0.3787463477328489
18,0.0,0.8052321676302853,0.5,0.6169263887299259
19,0.0,0.7944444444444443,0.4666666666666667,0.5879588839941261
20,0.0,0.7518604251141039,0.8876170655567117,0.8141180931675264
