log_name,num_it,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,error message
01.txt,8.0,8,11,8,36.07793140411377,
02.txt,3.0,16,17,16,13.806842803955078,
03.txt,1.0,11,11,11,3.449026584625244,
04.txt,2.0,10,11,10,6.922682285308838,
05.txt,2.0,11,12,11,8.170552253723145,
06.txt,7.0,10,12,10,31.66711711883545,
07.txt,2.0,13,14,13,8.009908676147461,
08.txt,1.0,12,12,12,3.4420950412750244,
09.txt,4.0,13,25,13,17.84393811225891,
10.txt,3.0,9,12,9,9.96536660194397,
11.txt,11.0,12,15,12,59.19429802894592,
12.txt,3.0,10,16,10,10.711629867553711,
13.txt,11.0,9,19,9,43.057931661605835,
14.txt,2.0,10,10,9,6.80305552482605,
15.txt,9.0,10,13,10,37.831875801086426,
16.txt,3.0,24,25,23,20.623027801513672,
17.txt,5.0,25,27,24,36.07408285140991,
18.txt,3.0,26,22,20,20.928236722946167,
19.txt,2.0,8,9,8,5.20835542678833,
20.txt,2.0,13,14,13,9.419445037841797,
