log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,time,num_it
01.txt,2,8,9,8,missing,1
02.txt,2,16,16,16,missing,1
03.txt,2,11,11,11,missing,1
04.txt,6,10,11,10,missing,3
05.txt,2,11,11,11,missing,1
06.txt,2,10,10,10,missing,1
07.txt,2,13,13,13,missing,1
08.txt,2,12,12,12,missing,1
09.txt,2,13,13,13,missing,1
10.txt,2,9,10,9,missing,1
11.txt,2,12,12,12,missing,1
12.txt,4,10,11,10,missing,2
13.txt,10,9,10,9,missing,5
14.txt,2,10,10,10,missing,1
15.txt,6,10,12,10,missing,3
16.txt,2,24,24,24,missing,1
17.txt,14,25,24,24,missing,7
18.txt,8,26,29,26,missing,4
order.txt,2,8,8,8,missing,1
hotel.txt,4,13,13,13,missing,2
