process_id,fitness_percFitTraces,averageFitness,precision,f_measure
01,33.333333333333336,0.8546296296296297,0.76,0.8045418052528961
02,0.0,0.7513071895424834,0.8,0.7748894038340003
03,0.0,0.7260101010101009,0.0,0.0
04,21.428571428571427,0.9351190476190474,0.8125,0.8695078337874659
05,25.0,0.9243055555555556,0.9285714285714286,0.9264335814102909
06,12.5,0.8664189976689975,0.9814814814814815,0.920367964628489
07,0.0,0.7297198029009168,0.5466339410939691,0.6250455465513026
08,50.0,0.9545454545454546,1.0,0.9767441860465117
09,7.142857142857143,0.8594346829640933,0.9545454545454546,0.9044966404410489
10,25.0,0.8955128205128207,1.0,0.9448765640852216
11,1.5873015873015872,0.781259334218017,0.3161764705882353,0.4501690537621501
12,0.0,0.7563144527430242,0.8731707317073171,0.810552498917269
13,100.0,1.0,1.0,1.0
14,0.0,0.7615800865800866,0.4444444444444444,0.5613153460361141
15,8.333333333333334,0.8434343434343434,0.9523809523809523,0.8946029195125218
16,17.59259259259259,0.9247250197225074,0.3993517017828201,0.5578083268279094
17,5.776173285198556,0.9114218022195224,0.9194833745534488,0.9154348406217954
18,0.0,0.7736396458609703,0.3958271014059228,0.5237045675210908
19,0.0,0.89,1.0,0.9417989417989417
20,0.0,0.5767694009421902,0.8876170655567117,0.6992011670132344
