01.txt,2,8,8,8,skipped,skipped,skipped,skipped,skipped,skipped,7.817906141281128
02.txt,Error,16,None,None,skipped,skipped,skipped,skipped,skipped,skipped,10.037273645401001
03.txt,2,11,11,11,skipped,skipped,skipped,skipped,skipped,skipped,10.900220155715942
04.txt,2,10,10,10,skipped,skipped,skipped,skipped,skipped,skipped,7.56514048576355
05.txt,2,11,11,11,skipped,skipped,skipped,skipped,skipped,skipped,7.805557012557983
06.txt,2,10,10,10,skipped,skipped,skipped,skipped,skipped,skipped,7.71668004989624
07.txt,2,13,13,13,skipped,skipped,skipped,skipped,skipped,skipped,9.0546133518219
08.txt,2,12,12,12,skipped,skipped,skipped,skipped,skipped,skipped,6.856441974639893
09.txt,2,13,13,13,skipped,skipped,skipped,skipped,skipped,skipped,11.256534576416016
10.txt,4,9,9,9,skipped,skipped,skipped,skipped,skipped,skipped,17.494329690933228
11.txt,2,12,12,12,skipped,skipped,skipped,skipped,skipped,skipped,10.29703950881958
12.txt,2,10,10,10,skipped,skipped,skipped,skipped,skipped,skipped,6.8968422412872314
13.txt,2,9,9,9,skipped,skipped,skipped,skipped,skipped,skipped,8.81807541847229
14.txt,4,10,11,10,skipped,skipped,skipped,skipped,skipped,skipped,19.636585235595703
15.txt,2,10,10,10,skipped,skipped,skipped,skipped,skipped,skipped,16.71878433227539
16.txt,2,24,24,24,skipped,skipped,skipped,skipped,skipped,skipped,13.675749063491821
17.txt,10,25,26,25,skipped,skipped,skipped,skipped,skipped,skipped,108.68497490882874
18.txt,Error,26,None,None,skipped,skipped,skipped,skipped,skipped,skipped,5.877151727676392
hotel.txt,Error,13,None,None,skipped,skipped,skipped,skipped,skipped,skipped,3.4166862964630127
order.txt,4,8,8,8,skipped,skipped,skipped,skipped,skipped,skipped,36.113322496414185
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
18.txt,2,26,26,26,skipped,skipped,skipped,skipped,skipped,skipped,23.26016855239868
hotel.txt,2,13,13,13,skipped,skipped,skipped,skipped,skipped,skipped,23.45243811607361
log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
02.txt,2,16,16,16,skipped,skipped,skipped,skipped,skipped,skipped,18.573814392089844
